Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20,10/23/20,11/25/20,12/11/20,12/16/20,2/3/21,2/12/21,2/19/21
33,CHO-FcgRIA,IgG1,10,IgG3,90,,,,,,,,,,,,,,,1098,1826,503
33,CHO-FcgRIA,IgG1,0,IgG3,100,,,,,,,,,,,,,,,692,4319,2144
33,CHO-FcgRIA,IgG1,100,IgG4,0,,,,,,,,,,,,,,,1219,1124,1605
33,CHO-FcgRIA,IgG1,90,IgG4,10,,,,,,,,,,,,,,,843,1046,1423
33,CHO-FcgRIA,IgG1,66,IgG4,33,,,,,,,,,,,,,,,885,564,846
33,CHO-FcgRIA,IgG1,33,IgG4,66,,,,,,,,,,,,,,,153,708,681
33,CHO-FcgRIA,IgG1,10,IgG4,90,,,,,,,,,,,,,,,217,749,1070
33,CHO-FcgRIA,IgG1,0,IgG4,100,,,,,,,,,,,,,,,33,805,1315
33,CHO-FcgRIA,IgG2,100,IgG3,0,,,,,,,,,,,1387,,332,244,,,
33,CHO-FcgRIA,IgG2,90,IgG3,10,,,,,,,,,,,2268,,1397,798,,,
33,CHO-FcgRIA,IgG2,66,IgG3,33,,,,,,,,,,,4369,,4191,2868,,,
33,CHO-FcgRIA,IgG2,33,IgG3,66,,,,,,,,,,,3807,,5283,5561,,,
33,CHO-FcgRIA,IgG2,10,IgG3,90,,,,,,,,,,,4930,,4351,2467,,,
33,CHO-FcgRIA,IgG2,0,IgG3,100,,,,,,,,,,,6172,,5446,6519,,,
33,CHO-FcgRIA,IgG2,100,IgG4,0,,,,,,,,,,,622,,745,608,,,
33,CHO-FcgRIA,IgG2,90,IgG4,10,,,,,,,,,,,1386,,426,1176,,,
33,CHO-FcgRIA,IgG2,66,IgG4,33,,,,,,,,,,,1895,,981,1791,,,
33,CHO-FcgRIA,IgG2,33,IgG4,66,,,,,,,,,,,5353,,2158,872,,,
33,CHO-FcgRIA,IgG2,10,IgG4,90,,,,,,,,,,,2868,,2489,2713,,,
33,CHO-FcgRIA,IgG2,0,IgG4,100,,,,,,,,,,,3739,,1769,1759,,,
33,CHO-FcgRIA,IgG3,100,IgG4,0,,,,,,,,,,,5424,,4121,5280,,,
33,CHO-FcgRIA,IgG3,90,IgG4,10,,,,,,,,,,,4966,,4907,5699,,,
33,CHO-FcgRIA,IgG3,66,IgG4,33,,,,,,,,,,,5940,,3680,5083,,,
33,CHO-FcgRIA,IgG3,33,IgG4,66,,,,,,,,,,,4051,,4722,3058,,,
33,CHO-FcgRIA,IgG3,10,IgG4,90,,,,,,,,,,,4122,,1858,2271,,,
33,CHO-FcgRIA,IgG3,0,IgG4,100,,,,,,,,,,,4201,,2033,2795,,,
4,CHO-hFcgRIIA-131His,IgG1,100,IgG2,0,2759,10276,,1834,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,90,IgG2,10,2413,9634,,1625,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,66,IgG2,33,2245,9058,,1443,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,33,IgG2,66,448,9802,,1599,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,10,IgG2,90,553,5974,,848,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,0,IgG2,100,779,7151,,1077,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,100,IgG3,0,2737,15025,,1808,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,90,IgG3,10,2711,11522,,1980,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,66,IgG3,33,2494,21608,,2069,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,33,IgG3,66,1846,17457,,816,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,10,IgG3,90,1689,17600,,1751,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,0,IgG3,100,5134,15438,,1929,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,100,IgG4,0,2616,10747,,2020,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,90,IgG4,10,2500,11583,,2076,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,66,IgG4,33,1511,11741,,1461,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,33,IgG4,66,444,12429,,2815,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,10,IgG4,90,959,10193,,291,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG1,0,IgG4,100,1600,-356,,88,,,,,,,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,100,IgG3,0,,,,,342,131,917,448,,2251,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,90,IgG3,10,,,,,517,369,1208,853,,3709,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,66,IgG3,33,,,,,1282,799,2859,485,,5847,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,33,IgG3,66,,,,,1152,1036,3082,1420,,6295,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,10,IgG3,90,,,,,969,1161,2431,1600,,5326,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,0,IgG3,100,,,,,919,,2493,1269,,6018,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,100,IgG4,0,,,,,196,96,1446,153,,1977,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,90,IgG4,10,,,,,363,109,1210,160,,1555,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,66,IgG4,33,,,,,287,130,1144,174,,1160,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,33,IgG4,66,,,,,255,112,474,249,,1015,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,10,IgG4,90,,,,,119,83,299,104,,2686,,,,,,,
4,CHO-hFcgRIIA-131His,IgG2,0,IgG4,100,,,,,104,12,134,84,,2313,,,,,,,
4,CHO-hFcgRIIA-131His,IgG3,100,IgG4,0,,,,,1007,812,2779,1613,,5605,,,,,,,
4,CHO-hFcgRIIA-131His,IgG3,90,IgG4,10,,,,,1218,822,3106,2267,,4923,,,,,,,
4,CHO-hFcgRIIA-131His,IgG3,66,IgG4,33,,,,,1086,1049,3265,1569,,6024,,,,,,,
4,CHO-hFcgRIIA-131His,IgG3,33,IgG4,66,,,,,835,665,3136,1069,,3967,,,,,,,
4,CHO-hFcgRIIA-131His,IgG3,10,IgG4,90,,,,,842,264,1890,315,,3539,,,,,,,
4,CHO-hFcgRIIA-131His,IgG3,0,IgG4,100,,,,,101,9,93,68,,3,,,,,,,
