Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20
4,hFcgRIIB,IgG2,100,IgG4,0,,,,,15,-3,70,14,,8
4,hFcgRIIB,IgG2,90,IgG4,10,,,,,-8,8,63,25,,25
4,hFcgRIIB,IgG2,66,IgG4,33,,,,,-18,-9,70,4,,7
4,hFcgRIIB,IgG2,33,IgG4,66,,,,,14,-7,82,32,,388
4,hFcgRIIB,IgG2,10,IgG4,90,,,,,40,5,106,16,,220
4,hFcgRIIB,IgG2,0,IgG4,100,,,,,19,-10,102,52,,213
4,hFcgRIIB,IgG3,100,IgG4,0,,,,,71,41,198,41,,579
4,hFcgRIIB,IgG3,90,IgG4,10,,,,,72,19,156,57,,500
4,hFcgRIIB,IgG3,66,IgG4,33,,,,,112,38,201,71,,449
4,hFcgRIIB,IgG3,33,IgG4,66,,,,,94,6,164,121,,539
4,hFcgRIIB,IgG3,10,IgG4,90,,,,,48,19,98,152,,200
4,hFcgRIIB,IgG3,0,IgG4,100,,,,,20,-10,42,48,,-21
33,hFcgRIIB,IgG1,100,IgG2,0,1075,10513,-14,985,,,,,1654,
33,hFcgRIIB,IgG1,90,IgG2,10,686,12260,-24,1259,,,,,2109,
33,hFcgRIIB,IgG1,66,IgG2,33,498,7712,-31,897,,,,,1469,
33,hFcgRIIB,IgG1,33,IgG2,66,182,5529,-19,602,,,,,765,
33,hFcgRIIB,IgG1,10,IgG2,90,62,1793,-19,359,,,,,439,
33,hFcgRIIB,IgG1,0,IgG2,100,-203,845,-4,204,,,,,656,
33,hFcgRIIB,IgG1,100,IgG3,0,467,10709,-21,1009,,,,,1553,
33,hFcgRIIB,IgG1,90,IgG3,10,1390,12874,10,1476,,,,,1780,
33,hFcgRIIB,IgG1,66,IgG3,33,984,15573,-4,1039,,,,,3433,
33,hFcgRIIB,IgG1,33,IgG3,66,679,16795,24,552,,,,,2752,
33,hFcgRIIB,IgG1,10,IgG3,90,948,18835,24,1413,,,,,2119,
33,hFcgRIIB,IgG1,0,IgG3,100,187,16149,24,1564,,,,,2535,
33,hFcgRIIB,IgG1,100,IgG4,0,842,8665,-22,995,,,,,1238,
33,hFcgRIIB,IgG1,90,IgG4,10,987,11815,-19,767,,,,,1578,
33,hFcgRIIB,IgG1,66,IgG4,33,926,8296,-25,568,,,,,677,
33,hFcgRIIB,IgG1,33,IgG4,66,466,6126,-28,835,,,,,1317,
33,hFcgRIIB,IgG1,10,IgG4,90,427,5426,-33,110,,,,,2650,
33,hFcgRIIB,IgG1,0,IgG4,100,18,6079,-37,336,,,,,2224,
33,hFcgRIIB,IgG2,100,IgG3,0,,,,,-14,-49,43,-71,,231
33,hFcgRIIB,IgG2,90,IgG3,10,,,,,579,496,721,884,,4640
33,hFcgRIIB,IgG2,66,IgG3,33,,,,,491,1319,1291,794,,5634
33,hFcgRIIB,IgG2,33,IgG3,66,,,,,796,680,2156,1827,,5550
33,hFcgRIIB,IgG2,10,IgG3,90,,,,,2123,1219,1281,628,,5258
33,hFcgRIIB,IgG2,0,IgG3,100,,,,,2376,8,2008,1955,,5035
33,hFcgRIIB,IgG2,100,IgG4,0,,,,,27,101,50,-60,,64
33,hFcgRIIB,IgG2,90,IgG4,10,,,,,337,-37,197,50,,424
33,hFcgRIIB,IgG2,66,IgG4,33,,,,,500,61,101,32,,611
33,hFcgRIIB,IgG2,33,IgG4,66,,,,,364,35,226,207,,1323
33,hFcgRIIB,IgG2,10,IgG4,90,,,,,593,173,276,78,,4479
33,hFcgRIIB,IgG2,0,IgG4,100,,,,,688,109,378,366,,3693
33,hFcgRIIB,IgG3,100,IgG4,0,,,,,965,333,1770,629,,5012
33,hFcgRIIB,IgG3,90,IgG4,10,,,,,857,428,1083,513,,5458
33,hFcgRIIB,IgG3,66,IgG4,33,,,,,912,465,1346,312,,6216
33,hFcgRIIB,IgG3,33,IgG4,66,,,,,644,287,584,106,,5196
33,hFcgRIIB,IgG3,10,IgG4,90,,,,,559,106,412,269,,3840
33,hFcgRIIB,IgG3,0,IgG4,100,,,,,544,0,257,-7,,3000
,,,,,,,,,,,,,,,
4,hFcgRIIIA-131Val,IgG1,100,IgG2,0,2834,13011,2638,4317,,,,,1347,
4,hFcgRIIIA-131Val,IgG1,90,IgG2,10,2230,13024,2637,4036,,,,,1677,
4,hFcgRIIIA-131Val,IgG1,66,IgG2,33,2326,14679,1596,4974,,,,,1695,
4,hFcgRIIIA-131Val,IgG1,33,IgG2,66,686,17060,765,3144,,,,,1894,
4,hFcgRIIIA-131Val,IgG1,10,IgG2,90,742,7882,791,2030,,,,,1461,
4,hFcgRIIIA-131Val,IgG1,0,IgG2,100,614,812,121,1603,,,,,500,
4,hFcgRIIIA-131Val,IgG1,100,IgG3,0,2276,16925,3169,4857,,,,,4494,
4,hFcgRIIIA-131Val,IgG1,90,IgG3,10,2353,16723,3076,3904,,,,,2839,
4,hFcgRIIIA-131Val,IgG1,66,IgG3,33,2431,17345,3000,4129,,,,,3171,
4,hFcgRIIIA-131Val,IgG1,33,IgG3,66,1984,17705,2949,2525,,,,,3006,
4,hFcgRIIIA-131Val,IgG1,10,IgG3,90,2205,19363,3161,4292,,,,,3871,
4,hFcgRIIIA-131Val,IgG1,0,IgG3,100,4223,18538,3140,6789,,,,,4516,
4,hFcgRIIIA-131Val,IgG1,100,IgG4,0,2809,12629,2461,6071,,,,,2748,
4,hFcgRIIIA-131Val,IgG1,90,IgG4,10,2975,15113,2275,4719,,,,,2663,
4,hFcgRIIIA-131Val,IgG1,66,IgG4,33,3093,14042,1509,3584,,,,,1649,
4,hFcgRIIIA-131Val,IgG1,33,IgG4,66,902,15974,838,5063,,,,,1570,
4,hFcgRIIIA-131Val,IgG1,10,IgG4,90,835,10286,642,2249,,,,,3867,
4,hFcgRIIIA-131Val,IgG1,0,IgG4,100,2071,376,61,2593,,,,,1477,
4,hFcgRIIIA-131Val,IgG2,100,IgG3,0,,,,,71,158,78,87,,434
4,hFcgRIIIA-131Val,IgG2,90,IgG3,10,,,,,391,1013,474,167,,4483
4,hFcgRIIIA-131Val,IgG2,66,IgG3,33,,,,,1626,1978,1140,189,,1039
4,hFcgRIIIA-131Val,IgG2,33,IgG3,66,,,,,1093,1269,1469,230,,376
4,hFcgRIIIA-131Val,IgG2,10,IgG3,90,,,,,1056,2045,1650,219,,371
4,hFcgRIIIA-131Val,IgG2,0,IgG3,100,,,,,1429,7,1683,231,,367
4,hFcgRIIIA-131Val,IgG2,100,IgG4,0,,,,,258,-14,54,19,,356
4,hFcgRIIIA-131Val,IgG2,90,IgG4,10,,,,,68,51,98,4,,523
4,hFcgRIIIA-131Val,IgG2,66,IgG4,33,,,,,127,5,153,131,,857
4,hFcgRIIIA-131Val,IgG2,33,IgG4,66,,,,,263,48,162,70,,1441
4,hFcgRIIIA-131Val,IgG2,10,IgG4,90,,,,,213,175,219,53,,2296
4,hFcgRIIIA-131Val,IgG2,0,IgG4,100,,,,,150,122,158,72,,2134
